INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,0.9396,2,32845,985,1045,0.9072,1.0992,0.8463,1.1816
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.8859,2,61025,1470,1660,0.9259,1.0782,0.8498,1.1768
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.7206,3,129315,2640,3660,0.9497,1.0521,0.8531,1.1722
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0.9348,2,55555,1610,1725,0.9272,1.0767,0.85,1.1765
I00699,R1H,BARTS HEALTH NHS TRUST,1.0722,2,125885,3410,3180,0.9461,1.056,0.8527,1.1727
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0.9413,2,128570,2890,3070,0.9452,1.057,0.8526,1.1729
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1.3411,1,61975,2320,1730,0.9274,1.0765,0.85,1.1764
I00699,RMC,BOLTON NHS FOUNDATION TRUST,1.1198,2,64860,1750,1565,0.9236,1.0807,0.8494,1.1773
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1396,2,81625,1760,1545,0.9232,1.0812,0.8493,1.1774
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,0.8643,2,75485,1490,1725,0.9272,1.0767,0.85,1.1765
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,1.1728,2,50295,2440,2080,0.9336,1.0696,0.851,1.1751
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9739,2,65625,2275,2335,0.9373,1.0656,0.8515,1.1744
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.7724,3,85865,1710,2215,0.9356,1.0674,0.8513,1.1747
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1.0222,2,52445,1930,1885,0.9304,1.0732,0.8505,1.1758
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0.8697,2,45535,1370,1575,0.9239,1.0804,0.8494,1.1772
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1.2681,1,67455,3265,2575,0.9402,1.0624,0.8519,1.1738
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1.1089,2,27945,1205,1090,0.9089,1.0973,0.8466,1.1811
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1.0048,2,62400,1545,1535,0.923,1.0814,0.8493,1.1775
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1453,2,78960,2710,2365,0.9377,1.0652,0.8516,1.1743
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0.979,2,36725,1220,1245,0.9148,1.0906,0.8478,1.1795
I00699,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,0.9659,2,52460,2050,2120,0.9342,1.0689,0.8511,1.175
I00699,RJN,EAST CHESHIRE NHS TRUST,1.3253,1,16680,915,690,0.8866,1.1232,0.8416,1.1882
